session_t,hand,wrist_x,wrist_y,hand_scale,speed,seg_state,seg_buffered,curls,pose_best,pose_distance,pose_stable
16.849,0,,,,0.00000,WAITING,0,,,,
17.074,0,,,,0.00000,WAITING,0,,,,
17.197,0,,,,0.00000,WAITING,0,,,,
17.328,0,,,,0.00000,WAITING,0,,,,
17.532,0,,,,0.00000,WAITING,0,,,,
17.649,0,,,,0.00000,WAITING,0,,,,
17.851,0,,,,0.00000,WAITING,0,,,,
17.952,0,,,,0.00000,WAITING,0,,,,
18.173,0,,,,0.00000,WAITING,0,,,,
18.619,0,,,,0.00000,WAITING,0,,,,
18.719,0,,,,0.00000,WAITING,0,,,,
18.886,0,,,,0.00000,WAITING,0,,,,
19.157,0,,,,0.00000,WAITING,0,,,,
19.405,0,,,,0.00000,WAITING,0,,,,
19.539,0,,,,0.00000,WAITING,0,,,,
19.651,0,,,,0.00000,WAITING,0,,,,
19.834,0,,,,0.00000,WAITING,0,,,,
19.929,0,,,,0.00000,WAITING,0,,,,
20.031,0,,,,0.00000,WAITING,0,,,,
20.199,0,,,,0.00000,WAITING,0,,,,
20.301,0,,,,0.00000,WAITING,0,,,,
20.430,0,,,,0.00000,WAITING,0,,,,
20.758,1,0.15565,0.75966,0.09285,0.00000,WAITING,0,2.221|2.555|2.451|1.964,,inf,
20.882,0,,,,0.00000,WAITING,0,,,,
21.134,1,0.20632,0.83943,0.30608,0.30876,WAITING,0,0.975|1.099|1.035|0.849,,inf,
21.232,1,0.24123,0.89205,0.33289,0.18969,IN_MOTION,3,0.887|1.017|0.947|0.790,,inf,
21.415,1,0.26623,0.92493,0.33898,0.12185,IN_MOTION,4,0.862|1.008|0.936|0.792,,inf,
21.555,1,0.28040,0.94455,0.34134,0.07088,IN_MOTION,5,0.866|1.002|0.924|0.768,,inf,
21.684,1,0.28543,0.95561,0.33889,0.03587,IN_MOTION,6,0.881|1.020|0.936|0.783,,inf,
21.896,1,0.28590,0.96310,0.34035,0.02205,IN_MOTION,7,0.874|1.006|0.930|0.780,,inf,
22.001,1,0.28569,0.96688,0.33984,0.01114,IN_MOTION,8,0.863|1.001|0.923|0.778,,inf,
22.101,1,0.30137,0.97238,0.34329,0.04839,IN_MOTION,9,0.861|0.992|0.941|0.778,,inf,
22.278,1,0.33174,0.98282,0.34494,0.09312,IN_MOTION,10,0.892|1.006|0.963|0.774,,inf,
22.387,1,0.37683,0.99843,0.34258,0.13926,IN_MOTION,11,0.937|1.063|1.012|0.802,,inf,
22.451,1,0.48018,1.03310,0.35679,0.30554,IN_MOTION,12,0.970|1.092|0.982|0.698,,inf,
22.546,1,0.62105,1.05082,0.34669,0.40952,IN_MOTION,13,1.087|1.161|0.961|0.455,,inf,
22.647,1,0.73403,1.06943,0.35570,0.32193,IN_MOTION,14,1.015|1.136|1.019|0.684,,inf,
22.692,1,0.84462,1.08635,0.37479,0.29850,IN_MOTION,15,0.956|1.071|0.988|0.741,,inf,
22.733,1,0.96184,1.09654,0.37899,0.31046,IN_MOTION,16,0.959|1.053|0.954|0.614,,inf,
22.782,1,1.04711,1.09345,0.36650,0.23282,IN_MOTION,17,0.964|1.082|0.975|0.711,,inf,
22.816,1,1.10530,1.08778,0.36415,0.16054,IN_MOTION,18,0.962|1.073|0.986|0.747,,inf,
22.851,1,1.14989,1.08737,0.36963,0.12063,IN_MOTION,19,0.960|1.057|0.953|0.669,,inf,
22.889,1,1.18388,1.08288,0.37068,0.09250,IN_MOTION,20,0.957|1.052|0.932|0.681,,inf,
22.936,1,1.21213,1.07783,0.36427,0.07877,IN_MOTION,21,0.980|1.073|0.946|0.676,,inf,
22.976,1,1.23385,1.07443,0.36177,0.06079,IN_MOTION,22,0.995|1.093|0.981|0.738,,inf,
23.015,1,1.24226,1.07065,0.35780,0.02575,IN_MOTION,23,1.008|1.116|1.003|0.771,,inf,
23.049,1,1.24422,1.07142,0.35233,0.00599,IN_MOTION,24,1.022|1.150|1.053|0.798,,inf,
23.084,1,1.26985,1.07111,0.34880,0.07347,IN_MOTION,25,1.053|1.160|1.074|0.805,,inf,
23.123,1,1.26883,1.07199,0.34924,0.00385,IN_MOTION,26,1.040|1.166|1.052|0.823,,inf,
23.163,1,1.27107,1.06475,0.32799,0.02310,IN_MOTION,27,1.147|1.238|1.120|0.880,,inf,
23.199,1,1.25968,1.06809,0.33960,0.03496,IN_MOTION,28,1.056|1.204|1.086|0.847,,inf,
23.233,1,1.28722,1.06495,0.33829,0.08193,IN_MOTION,29,1.078|1.186|1.062|0.830,,inf,
23.270,1,1.27427,1.07068,0.35512,0.03986,IN_MOTION,30,1.001|1.121|1.003|0.776,,inf,
23.316,1,1.27770,1.06452,0.33027,0.02136,IN_MOTION,31,1.111|1.211|1.106|0.864,,inf,
23.346,1,1.26295,1.06618,0.33914,0.04378,IN_MOTION,32,1.066|1.204|1.074|0.808,,inf,
23.390,1,1.27017,1.06183,0.33003,0.02555,IN_MOTION,33,1.118|1.227|1.108|0.841,,inf,
23.424,1,1.26243,1.06043,0.33284,0.02364,IN_MOTION,34,1.080|1.227|1.120|0.849,,inf,
23.466,1,1.27369,1.05434,0.32613,0.03925,WAITING,0,1.130|1.235|1.092|0.797,,inf,
23.511,1,1.25811,1.05805,0.34282,0.04670,WAITING,0,1.037|1.172|1.071|0.830,,inf,
23.549,1,1.26081,1.05729,0.33181,0.00844,WAITING,0,1.106|1.226|1.119|0.870,,inf,
23.586,1,1.25427,1.06106,0.34285,0.02203,WAITING,0,1.042|1.175|1.046|0.810,,inf,
23.618,1,1.26355,1.05809,0.33443,0.02913,WAITING,0,1.084|1.186|1.082|0.833,,inf,
23.659,1,1.25241,1.06361,0.34339,0.03619,WAITING,0,1.055|1.208|1.069|0.831,,inf,
23.704,1,1.28098,1.06135,0.34266,0.08363,WAITING,0,1.069|1.174|1.042|0.819,,inf,
23.740,1,1.26357,1.06552,0.35110,0.05097,WAITING,0,1.035|1.161|1.052|0.838,,inf,
23.773,1,1.28011,1.06429,0.35171,0.04716,WAITING,0,1.034|1.117|0.988|0.779,,inf,
23.821,1,1.26668,1.06587,0.35000,0.03864,WAITING,0,1.027|1.146|1.005|0.786,,inf,
23.857,1,1.26760,1.06449,0.34684,0.00479,WAITING,0,1.036|1.131|1.027|0.779,,inf,
23.894,1,1.24992,1.06514,0.34585,0.05116,WAITING,0,1.029|1.169|1.050|0.824,,inf,
23.918,1,1.27093,1.06329,0.35658,0.05914,WAITING,0,0.962|1.070|0.971|0.727,,inf,
23.961,1,1.24809,1.05783,0.34853,0.06737,IN_MOTION,4,0.927|1.070|0.998|0.776,,inf,
24.002,1,1.24610,1.05169,0.34413,0.01875,IN_MOTION,5,0.894|1.037|0.977|0.675,,inf,
24.038,1,1.22686,1.04436,0.33226,0.06194,IN_MOTION,6,0.855|0.999|0.915|0.587,,inf,
24.074,1,1.20572,1.04683,0.33982,0.06265,IN_MOTION,7,0.773|0.911|0.842|0.621,,inf,
24.124,1,1.18393,1.04862,0.33861,0.06457,IN_MOTION,8,0.714|0.839|0.782|0.567,,inf,
24.156,1,1.15913,1.04760,0.33474,0.07414,IN_MOTION,9,0.632|0.757|0.694|0.536,,inf,
24.197,1,1.10366,1.05194,0.33495,0.16612,IN_MOTION,10,0.485|0.557|0.485|0.449,,inf,
24.238,1,1.04931,1.05068,0.32376,0.16793,IN_MOTION,11,0.462|0.511|0.469|0.404,,inf,
24.274,1,0.99712,1.05105,0.30640,0.17033,IN_MOTION,12,0.417|0.421|0.491|0.472,,inf,
24.307,1,0.94791,1.05218,0.30760,0.16003,IN_MOTION,13,0.580|0.556|0.498|0.492,,inf,
24.349,1,0.88806,1.05592,0.29345,0.20433,IN_MOTION,14,0.524|0.562|0.504|0.477,,inf,
24.414,1,0.83164,1.05844,0.28773,0.19629,IN_MOTION,15,0.490|0.511|0.506|0.470,,inf,
24.489,1,0.76845,1.06226,0.27139,0.23326,IN_MOTION,16,0.407|0.476|0.493|0.509,,inf,
24.551,1,0.70211,1.07644,0.28461,0.23836,IN_MOTION,17,0.530|0.571|0.587|0.504,,inf,
24.636,1,0.64484,1.07772,0.27600,0.20755,IN_MOTION,18,0.572|0.643|0.663|0.595,,inf,
24.695,1,0.58867,1.06487,0.26315,0.21899,IN_MOTION,19,0.643|0.717|0.711|0.646,,inf,
24.779,1,0.52504,1.03812,0.27521,0.25079,IN_MOTION,20,0.686|0.789|0.763|0.644,,inf,
24.893,1,0.47815,1.00911,0.26401,0.20884,IN_MOTION,21,0.717|0.812|0.818|0.699,,inf,
25.052,1,0.43923,0.97493,0.26867,0.19281,IN_MOTION,22,0.740|0.870|0.849|0.694,,inf,
25.137,1,0.39870,0.93769,0.28151,0.19553,IN_MOTION,23,0.783|0.907|0.883|0.708,,inf,
25.218,1,0.36371,0.90615,0.28786,0.16362,IN_MOTION,24,0.766|0.884|0.865|0.707,,inf,
