wall_time,session_t,mode,source,outcome,gesture,distance,threshold,threshold_source,runner_up,runner_up_distance,margin_ratio,fired,key,detail,seg_frames,seg_duration,seg_peak_speed,seg_mean_speed,seg_close_reason,session_label
1788752017.282,216.615,LIVE,trajectory,rejected,swipe_right,0.2425,0.5093,calibrated(2 samples),swipe_left,0.2932,0.8269,False,,ambiguous vs swipe_left (ratio 0.83 > 0.80),44,3.682,2.2020,0.3668,still,
1788752020.082,219.415,LIVE,trajectory,accepted,swipe_right,0.3963,0.5093,calibrated(2 samples),swipe_left,0.5261,0.7533,True,right,pressed right,28,2.401,1.4037,0.2921,still,
1788752023.145,222.478,LIVE,trajectory,accepted,swipe_right,0.3439,0.5093,calibrated(2 samples),swipe_left,0.4922,0.6987,True,right,pressed right,33,2.658,1.5139,0.2480,still,
1788752025.680,225.013,LIVE,trajectory,accepted,swipe_right,0.3832,0.5093,calibrated(2 samples),swipe_left,0.5075,0.7549,True,right,pressed right,29,2.480,1.5324,0.2930,still,
1788752028.888,228.221,LIVE,trajectory,accepted,swipe_right,0.3851,0.5093,calibrated(2 samples),swipe_left,0.5224,0.7372,True,right,pressed right,21,2.279,2.0206,0.4357,still,
1788752031.809,231.142,LIVE,trajectory,accepted,swipe_right,0.3782,0.5093,calibrated(2 samples),swipe_left,0.5155,0.7337,True,right,pressed right,30,2.335,1.6469,0.3056,still,
1788752033.693,233.026,LIVE,trajectory,rejected,swipe_right,1.0958,0.5093,calibrated(2 samples),swipe_left,1.1755,0.9322,False,,distance over threshold,7,1.280,3.3848,1.1291,hand_lost,
1788752038.088,237.421,LIVE,trajectory,accepted,swipe_right,0.1342,0.5093,calibrated(2 samples),swipe_left,0.2440,0.5502,True,right,pressed right,22,1.872,0.5154,0.1178,hand_lost,
1788752041.075,240.408,LIVE,trajectory,accepted,swipe_right,0.2477,0.5093,calibrated(2 samples),swipe_left,0.3648,0.6790,True,right,pressed right,35,2.868,2.1722,0.3294,still,
1788752042.838,242.172,LIVE,trajectory,rejected,swipe_right,0.9868,0.5093,calibrated(2 samples),swipe_left,1.0403,0.9486,False,,distance over threshold,16,1.662,1.1055,0.2576,hand_lost,
1788752043.821,243.154,LIVE,trajectory,rejected,swipe_right,0.5204,0.5093,calibrated(2 samples),swipe_left,0.5249,0.9915,False,,distance over threshold,13,0.797,1.2773,0.2252,still,
1788752045.789,245.122,LIVE,trajectory,rejected,swipe_right,0.8648,0.5093,calibrated(2 samples),swipe_left,0.9406,0.9194,False,,distance over threshold,17,1.754,1.2338,0.2590,hand_lost,
1788752046.820,246.153,LIVE,trajectory,rejected,swipe_left,0.5128,0.6000,calibrated(2 samples),swipe_right,0.5163,0.9932,False,,ambiguous vs swipe_right (ratio 0.99 > 0.80),13,0.818,1.0979,0.2016,still,
1788752055.943,255.276,LIVE,trajectory,rejected,swipe_right,1.0701,0.5093,calibrated(2 samples),swipe_left,1.1390,0.9395,False,,distance over threshold,13,1.273,0.7763,0.2501,hand_lost,
1788752062.594,261.927,LIVE,trajectory,rejected,swipe_left,0.3677,0.6000,calibrated(2 samples),swipe_right,0.3836,0.9584,False,,ambiguous vs swipe_right (ratio 0.96 > 0.80),9,1.266,1.5383,0.6225,hand_lost,
1788752075.955,275.289,LIVE,trajectory,rejected,swipe_right,0.6038,0.5093,calibrated(2 samples),swipe_left,0.6264,0.9640,False,,distance over threshold,38,2.802,1.2204,0.2367,still,
1788752077.494,276.827,LIVE,trajectory,segment_rejected,,,,,,,,,,path_too_small(0.21<0.55),4,0.670,0.0915,0.0649,hand_lost,
1788752087.155,286.488,LIVE,trajectory,accepted,swipe_right,0.2930,0.5093,calibrated(2 samples),swipe_left,0.4201,0.6975,True,right,pressed right,30,2.003,0.4392,0.1503,still,
1788752090.624,289.958,LIVE,trajectory,accepted,swipe_right,0.4195,0.5093,calibrated(2 samples),swipe_left,0.5405,0.7761,True,right,pressed right,28,2.268,1.8005,0.2916,still,
1788752093.216,292.549,LIVE,trajectory,rejected,swipe_right,1.0066,0.5093,calibrated(2 samples),swipe_left,1.0578,0.9516,False,,distance over threshold,24,1.790,1.4768,0.2011,still,
1788752097.360,296.694,LIVE,trajectory,rejected,swipe_right,0.3798,0.5093,calibrated(2 samples),swipe_left,0.4036,0.9409,False,,ambiguous vs swipe_left (ratio 0.94 > 0.80),36,3.136,2.8976,0.4081,still,
1788752101.220,300.554,LIVE,trajectory,rejected,swipe_right,0.5570,0.5093,calibrated(2 samples),swipe_left,0.5768,0.9657,False,,distance over threshold,26,2.070,1.2924,0.2334,still,
